title;author;publication date, year;print length, pages;rating;reviews on 2022-10-24
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book);Don Miguel Ruiz, Janet Mills;2011;153;4,7;87594
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1);Mark Manson;2016;212;4,6;81187
Think and Grow Rich;Napoleon Hill;2020;196;4,7;80644
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!;Robert T. Kiyosaki;2017;336;4,7;75602
The Power of Your Subconscious Mind;Joseph Murphy;2022;224;4,6;60791
12 Rules for Life: An Antidote to Chaos;Jordan B. Peterson;2018;416;4,8;58825
The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma;Bessel  van der Kolk;2014;645;4,8;56981
The 48 Laws of Power;Robert Greene;2000;864;4,7;53709
Man's Search for Meaning;Viktor E. Frankl;2006;188;4,7;51386
The Power of Now: A Guide to Spiritual Enlightenment;Eckhart Tolle;2010;258;4,7;43248
Ikigai: The Japanese Secret to a Long and Happy Life;Héctor García, Francesc Miralles;2017;204;4,6;40506
The Intelligent Investor, Rev. Ed: The Definitive Book on Value Investing;Benjamin Graham, Jason Zweig;2009;640;4,7;39574
The Secret;Rhonda Byrne;2007;220;4,6;36452
The Richest Man in Babylon;George S. Clason;2019;104;4,7;32541
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day;Jay Shetty;2020;350;4,8;30988
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World;William H.  McRaven;2017;89;4,7;30166
Thinking, Fast and Slow;Daniel Kahneman;2011;514;4,6;30041
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are;Brené Brown;2010;245;4,7;29902
The Psychology of Money: Timeless lessons on wealth, greed, and happiness;Morgan Housel;2020;224;4,7;29610
Never Split the Difference: Negotiating As If Your Life Depended On It;Chris Voss, Tahl Raz;2016;260;4,8;28934
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (The Life Changing Magic of Tidying Up);;2014;226;4,5;28178
Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness;Vex King;2018;243;4,7;27549
The Untethered Soul: The Journey Beyond Yourself;Michael A. Singer;2007;199;4,7;26601
Extreme Ownership: How U.S. Navy SEALs Lead and Win;Jocko Willink, Leif Babin;2017;317;4,8;26357
Start with Why: How Great Leaders Inspire Everyone to Take Action;Simon Sinek;2009;247;4,6;25956
The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living;Ryan Holiday, Stephen Hanselman;2016;415;4,8;23577
The 5AM Club: Own Your Morning. Elevate Your Life.;Robin Sharma;2018;312;4,6;23237
The Power of Habit: Why We Do What We Do in Life and Business;Charles Duhigg;2012;405;4,7;22877
Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life;Henry Cloud;2017;352;4,7;22523
Outliers: The Story of Success;Malcolm Gladwell;2008;321;4,7;22390
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts;Jennie Allen;2020;257;4,7;21479
Relationship Goals: How to Win at Dating, Marriage, and Sex;Michael Todd;2020;210;4,8;21366
How To Stop Worrying & Start Living;Dale Carnegie;2020;338;4,6;20709
Quiet: The Power of Introverts in a World That Can't Stop Talking;Susan Cain;2012;364;4,6;20204
Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s Beautiful Again;Lysa TerKeurst;2020;288;4,8;20043
Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series);Gary John Bishop;2017;218;4,7;19831
Attitude Is Everything: Change Your Attitude... Change Your Life!;Jeff Keller;2012;144;4,6;19524
Being Mortal: Medicine and What Matters in the End;Atul Gawande;2014;297;4,8;19476
The 4-Hour Workweek, Expanded and Updated: Expanded and Updated, With Over 100 New Pages of Cutting-Edge Content.;Timothy Ferriss;2009;483;4,5;19060
Deep Work: Rules for Focused Success in a Distracted World;Cal Newport;2016;287;4,6;17832
Battlefield of the Mind: Winning the Battle in Your Mind;Joyce Meyer;2008;223;4,8;17012
Who Moved My Cheese?: An A-Mazing Way to Deal with Change in Your Work and in Your Life;Spencer Johnson;1998;108;4,6;16941
Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.;Brené Brown;2018;293;4,7;16895
As a man thinketh;James Allen;2018;27;4,7;16289
Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life;Jim Kwik;2020;342;4,7;16082
Talking to Strangers: What We Should Know about the People We Don't Know;Malcolm Gladwell;2019;401;4,5;15616
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience;Brené Brown;2021;318;4,8;15565
Becoming Supernatural: How Common People are Doing the Uncommon;Joe Dispenza;2017;375;4,8;15374
Codependent No More: How to Stop Controlling Others and Start Caring for Yourself;Melody  Beattie;2022;308;4,7;15318
The Power of Positive Thinking;Norman Vincent Peale;2022;281;4,6;14777
